Cadastral area,Population density (km2),polygon,citiziens/km2
Stodůlky,6 351,"[(50.0316792, 14.3357763), (50.031727, 14.3358331), (50.0316562, 14.3359441), (50.0316125, 14.3364931), (50.0315655, 14.3371387), (50.031696, 14.3378962), (50.0317744, 14.3384401), (50.0322813, 14.3383842), (50.0326193, 14.3378809), (50.0327189, 14.338436), (50.0324352, 14.3391364), (50.0323542, 14.3398343), (50.0323285, 14.3399718), (50.0320832, 14.3404787), (50.0321209, 14.3408971), (50.0321194, 14.3413982), (50.0321367, 14.3415342), (50.0324807, 14.3423311), (50.0321994, 14.3425227), (50.0317724, 14.3426868), (50.0319899, 14.3434353), (50.0320183, 14.3434723), (50.0321168, 14.3439103), (50.0321424, 14.3439785), (50.0321552, 14.3440076), (50.0321961, 14.3442094), (50.0323036, 14.3443131), (50.0323254, 14.344301), (50.0323305, 14.3443292), (50.0323568, 14.3443666), (50.0324394, 14.3444495), (50.0325185, 14.344575), (50.0325162, 14.3446258), (50.0325826, 14.3448081), (50.0326355, 14.3449571), (50.0327744, 14.3450264), (50.0331461, 14.3455032), (50.0334249, 14.3462386), (50.0336662, 14.3467084), (50.0336662, 14.3467084), (50.0339926, 14.3464292), (50.0341179, 14.3462837), (50.0343461, 14.3464173), (50.0346279, 14.3466228), (50.0348863, 14.3470359), (50.0351371, 14.3473713), (50.0352866, 14.3474951), (50.0354244, 14.3475329), (50.0357386, 14.3474522), (50.0364529, 14.3472291), (50.0380745, 14.346605), (50.0383651, 14.3464091), (50.0385319, 14.3462129), (50.0385992, 14.3460053), (50.0386445, 14.3456864), (50.0386561, 14.3455523), (50.038697, 14.34508), (50.0388083, 14.3445754), (50.0388901, 14.3445995), (50.0389903, 14.3450428), (50.0390951, 14.3453862), (50.0396418, 14.3468893), (50.0397892, 14.3472758), (50.0399264, 14.3475745), (50.0402147, 14.3481242), (50.0407884, 14.3491188), (50.0408076, 14.3490595), (50.0420702, 14.3490093), (50.0419564, 14.3479042), (50.0423392, 14.3477735), (50.0423609, 14.3461322), (50.0423893, 14.3444098), (50.0423321, 14.3434411), (50.0430441, 14.3433502), (50.0429825, 14.3427339), (50.0436396, 14.3428038), (50.0444073, 14.3429075), (50.04455, 14.3428885), (50.0449326, 14.3427954), (50.0451022, 14.3432414), (50.0451139, 14.3432672), (50.0451927, 14.3430492), (50.0452116, 14.3427716), (50.0452365, 14.3423425), (50.0452508, 14.3421343), (50.0452607, 14.3419166), (50.0452911, 14.3414996), (50.0453277, 14.3412979), (50.0453982, 14.3411031), (50.0455002, 14.3409261), (50.0455434, 14.3408707), (50.0455514, 14.3408893), (50.0456638, 14.3413255), (50.0457792, 14.3418627), (50.0458488, 14.3423403), (50.0458785, 14.3426265), (50.0459037, 14.3429344), (50.045926, 14.3432422), (50.0459432, 14.343507), (50.0461477, 14.3467986), (50.046159, 14.3473434), (50.0461776, 14.34737), (50.0461977, 14.3475933), (50.0462326, 14.3478961), (50.0462395, 14.3479317), (50.0462927, 14.3481336), (50.0463525, 14.3484671), (50.0464116, 14.3487385), (50.0464825, 14.3490201), (50.0465611, 14.3492902), (50.0466465, 14.349545), (50.0467388, 14.3497906), (50.0468625, 14.3500852), (50.0470696, 14.3504458), (50.0471399, 14.3505712), (50.0472832, 14.3508053), (50.0474224, 14.3510124), (50.0475638, 14.3512034), (50.047836, 14.3515367), (50.0482668, 14.3520436), (50.0484047, 14.3522091), (50.0485477, 14.3523721), (50.0488348, 14.3527106), (50.0488664, 14.352747), (50.0492387, 14.3531756), (50.0494434, 14.3534159), (50.0495855, 14.3535914), (50.0496542, 14.3536891), (50.049694, 14.3537575), (50.0497097, 14.3537885), (50.0497528, 14.3538852), (50.0498158, 14.3540089), (50.0499445, 14.3540945), (50.0501212, 14.354282), (50.0500912, 14.3543435), (50.050315, 14.3545719), (50.0505407, 14.3547936), (50.0506178, 14.3548495), (50.050648, 14.354866), (50.0506616, 14.3548715), (50.0506778, 14.354878), (50.0507229, 14.3548892), (50.0507855, 14.354898), (50.0508386, 14.3549025), (50.0509733, 14.3549009), (50.051054, 14.354904), (50.0511388, 14.3549174), (50.051208, 14.354938), (50.0512713, 14.3549686), (50.0513338, 14.3550074), (50.0513791, 14.3550449), (50.0514278, 14.3550929), (50.0514789, 14.3551571), (50.0514974, 14.3551414), (50.0514989, 14.3551543), (50.0517636, 14.3547304), (50.0520727, 14.3542269), (50.0526846, 14.3532001), (50.0535455, 14.3515557), (50.0538089, 14.3509985), (50.0540565, 14.3504165), (50.0542364, 14.3497363), (50.0547874, 14.3490961), (50.0548964, 14.3487458), (50.054826, 14.348707), (50.0549839, 14.348216), (50.0551085, 14.3482845), (50.0551451, 14.3482225), (50.0552682, 14.3477202), (50.0553374, 14.3474268), (50.0554602, 14.3471255), (50.0555507, 14.346817), (50.0556583, 14.3465115), (50.0557767, 14.3461183), (50.0558337, 14.3459197), (50.055617, 14.3457997), (50.055646, 14.3456474), (50.0558448, 14.344519), (50.0561423, 14.3444549), (50.0562235, 14.3438805), (50.0562618, 14.3435973), (50.0562832, 14.3431768), (50.0563037, 14.3428974), (50.0563034, 14.342538), (50.0562761, 14.3417754), (50.0562541, 14.3414277), (50.0562031, 14.3413611), (50.0561908, 14.3410296), (50.0561921, 14.3408348), (50.0561889, 14.3406288), (50.0561832, 14.340402), (50.0561705, 14.3401181), (50.0561552, 14.33955), (50.0561591, 14.3392999), (50.0562325, 14.3393656), (50.0564839, 14.3394114), (50.0566679, 14.3394763), (50.0566769, 14.3395612), (50.0568264, 14.3396108), (50.0568939, 14.3395022), (50.0571272, 14.3395955), (50.0571268, 14.339603), (50.0572575, 14.339633), (50.0574136, 14.3396423), (50.057589, 14.3396709), (50.0576847, 14.3396828), (50.057885, 14.3397159), (50.0579877, 14.3397221), (50.0580697, 14.339723), (50.058282, 14.3396355), (50.0583313, 14.339612), (50.0584172, 14.3395445), (50.0584771, 14.3394603), (50.0585575, 14.3394187), (50.0586323, 14.3393649), (50.058707, 14.3393302), (50.0587247, 14.3393227), (50.0587181, 14.3393837), (50.0587755, 14.3393988), (50.0587824, 14.3393379), (50.0588048, 14.3392837), (50.0588963, 14.3391924), (50.0589269, 14.3391846), (50.0589835, 14.3391264), (50.0590948, 14.3390237), (50.0592036, 14.3389382), (50.0593698, 14.338837), (50.0594836, 14.3387432), (50.0596266, 14.3386791), (50.0598076, 14.3385523), (50.0599285, 14.3384705), (50.0600629, 14.3383176), (50.0600468, 14.3380753), (50.0599458, 14.3379077), (50.0598477, 14.3378011), (50.0597727, 14.3377451), (50.0597404, 14.3375664), (50.0598222, 14.3372687), (50.0599221, 14.3371514), (50.0600425, 14.3369953), (50.0600808, 14.3367864), (50.0600697, 14.3364319), (50.0601208, 14.3361565), (50.060129, 14.3359685), (50.060151, 14.335599), (50.0602558, 14.3353244), (50.0602947, 14.3353554), (50.0604148, 14.3351033), (50.0603121, 14.3350596), (50.060332, 14.3350228), (50.0603361, 14.3350282), (50.0603692, 14.3349668), (50.0604346, 14.3348276), (50.0605114, 14.3346892), (50.0606284, 14.3345303), (50.0606967, 14.334443), (50.0607273, 14.3344007), (50.0607273, 14.3344007), (50.0607549, 14.3343131), (50.0608236, 14.3340686), (50.0609074, 14.3337735), (50.0609468, 14.3336266), (50.0610482, 14.3333383), (50.061277, 14.332851), (50.0615141, 14.3324303), (50.0616931, 14.3319458), (50.0620654, 14.3309818), (50.06231, 14.3297304), (50.0623521, 14.3289056), (50.062401, 14.3283932), (50.0624348, 14.3283612), (50.0624569, 14.3283413), (50.0627334, 14.3280916), (50.0629026, 14.3277322), (50.0630981, 14.3273129), (50.0630197, 14.3265513), (50.0628394, 14.3257634), (50.0627176, 14.3250253), (50.0634633, 14.3243819), (50.0640757, 14.3237848), (50.0641147, 14.3237357), (50.0644459, 14.3233475), (50.064836, 14.3230379), (50.0649525, 14.3228915), (50.0650095, 14.3228253), (50.0650398, 14.3227911), (50.0651557, 14.3227005), (50.0651853, 14.3226776), (50.0651425, 14.3222515), (50.0651425, 14.3222515), (50.0650909, 14.3217806), (50.0650798, 14.3216183), (50.0650637, 14.3214564), (50.0649916, 14.3207953), (50.0649403, 14.3201975), (50.0648785, 14.3196218), (50.0648411, 14.3196327), (50.0648011, 14.3193199), (50.0647779, 14.3191601), (50.0647526, 14.3190032), (50.0646857, 14.3186841), (50.0646469, 14.3185209), (50.0646059, 14.3183581), (50.0645578, 14.3181936), (50.0644013, 14.317705), (50.0642809, 14.317392), (50.0641456, 14.3170995), (50.0637425, 14.3163141), (50.0633481, 14.3155298), (50.063172, 14.3151944), (50.0631229, 14.3150492), (50.0630081, 14.3147481), (50.0629057, 14.3144343), (50.062807, 14.3141221), (50.0626666, 14.3135497), (50.0624903, 14.3128152), (50.0623058, 14.3120277), (50.0621297, 14.311237), (50.0620001, 14.3106103), (50.0619407, 14.3103312), (50.0619249, 14.3102888), (50.0619157, 14.3102495), (50.0617517, 14.3096984), (50.0616493, 14.3090175), (50.0616355, 14.3089684), (50.0616571, 14.3089595), (50.0615747, 14.3085551), (50.0614333, 14.3077719), (50.0612284, 14.3066236), (50.0610379, 14.3055307), (50.0609096, 14.3047696), (50.0608464, 14.3044341), (50.0608464, 14.3044341), (50.0573029, 14.3046972), (50.054984, 14.2971491), (50.054984, 14.2971491), (50.0549445, 14.2971987), (50.0546643, 14.2974618), (50.0545522, 14.2975646), (50.0543369, 14.2978325), (50.0540806, 14.2979804), (50.0540671, 14.2979882), (50.0538321, 14.2980792), (50.0538156, 14.2980818), (50.0537559, 14.2980824), (50.053724, 14.2980869), (50.0528978, 14.2981154), (50.0527729, 14.2981373), (50.0523197, 14.2982489), (50.0519166, 14.2983753), (50.051307, 14.2985675), (50.0513568, 14.2994237), (50.0504162, 14.2999693), (50.0493056, 14.3006136), (50.0492533, 14.3006439), (50.0492554, 14.3010101), (50.0488577, 14.3010841), (50.0484598, 14.3011428), (50.0472439, 14.3013223), (50.0472103, 14.3013273), (50.0469035, 14.3013068), (50.0464725, 14.3013721), (50.0464497, 14.3013756), (50.0463349, 14.3011667), (50.0461308, 14.3011728), (50.0456553, 14.301186), (50.045065, 14.3010878), (50.0447013, 14.3011143), (50.0440616, 14.3012588), (50.0440191, 14.30128), (50.0434119, 14.3004052), (50.0433244, 14.3002919), (50.0431651, 14.2999167), (50.0430823, 14.2995446), (50.043031, 14.2992355), (50.0429727, 14.2986538), (50.0429473, 14.2981155), (50.0429732, 14.2976289), (50.0429761, 14.2975939), (50.0429924, 14.2974796), (50.0431583, 14.2963993), (50.0432729, 14.2955616), (50.041949, 14.2951887), (50.0407582, 14.2947903), (50.0407325, 14.2947816), (50.0405267, 14.2947087), (50.0405267, 14.2947087), (50.0402812, 14.2951857), (50.0401791, 14.2953845), (50.0401516, 14.295493), (50.0398492, 14.2965607), (50.0397518, 14.2969092), (50.0396255, 14.2977198), (50.0395383, 14.2981593), (50.0391879, 14.2995804), (50.0390251, 14.3002349), (50.0389139, 14.3006798), (50.0387999, 14.3011384), (50.0387964, 14.3011524), (50.0387358, 14.301384), (50.0386482, 14.3022786), (50.0384934, 14.3034226), (50.0384579, 14.3036333), (50.0382794, 14.3041359), (50.0383658, 14.3045534), (50.0383817, 14.3049101), (50.0383956, 14.3052857), (50.0383262, 14.3058352), (50.0379341, 14.3066462), (50.0378996, 14.3078397), (50.0377947, 14.3078562), (50.0377058, 14.3079199), (50.0375347, 14.3081899), (50.0374534, 14.3084517), (50.0373611, 14.3086116), (50.0371767, 14.3087711), (50.0370514, 14.3087275), (50.0367146, 14.3089711), (50.0368399, 14.309328), (50.0374839, 14.3111641), (50.0377692, 14.3122413), (50.0377855, 14.3123023), (50.037823, 14.3124374), (50.0379016, 14.3127343), (50.0381328, 14.3135868), (50.0383177, 14.3140852), (50.0385583, 14.3147525), (50.0386877, 14.315114), (50.0390752, 14.3164675), (50.0395128, 14.3178376), (50.0395544, 14.3179255), (50.039642, 14.3181095), (50.0399041, 14.3181956), (50.0398521, 14.3183958), (50.0398673, 14.3187308), (50.0398846, 14.3191487), (50.0401066, 14.3206206), (50.0400738, 14.3207648), (50.0399835, 14.3213846), (50.0399614, 14.32161), (50.0399019, 14.3222902), (50.039853, 14.3233226), (50.0398344, 14.3237439), (50.0395814, 14.3240779), (50.0383972, 14.3256536), (50.038326, 14.325752), (50.0382901, 14.3257706), (50.0379966, 14.325938), (50.0374545, 14.3262427), (50.0372394, 14.3263624), (50.0369813, 14.326506), (50.0361014, 14.3269975), (50.0354987, 14.3273341), (50.0350691, 14.3275741), (50.0350269, 14.3275977), (50.0349048, 14.3276656), (50.0334869, 14.3305954), (50.0332204, 14.3306813), (50.0327081, 14.3309251), (50.0330383, 14.3313741), (50.0330958, 14.3315194), (50.033174, 14.3319676), (50.0332757, 14.3324099), (50.0334378, 14.3327198), (50.0335048, 14.3329473), (50.0335467, 14.3330982), (50.0336737, 14.3336143), (50.0338592, 14.3339383), (50.0340103, 14.3344509), (50.0340438, 14.3346359), (50.034073, 14.3347911), (50.0340965, 14.3348352), (50.0341338, 14.3349002), (50.0342736, 14.3348513), (50.0341888, 14.3349626), (50.0341785, 14.3349827), (50.0341649, 14.3350314), (50.0337002, 14.335245), (50.0336097, 14.3352707), (50.0334337, 14.3353193), (50.0333451, 14.3353441), (50.03317, 14.3354018), (50.0329088, 14.3355411), (50.0327552, 14.3356382), (50.0324478, 14.3358963), (50.0323986, 14.3358194), (50.0322047, 14.335372), (50.032068, 14.3351139), (50.031651, 14.3356149), (50.0316335, 14.3356363), (50.0316653, 14.3357056), (50.0316792, 14.3357763)]",6351
Žižkov,10 443,"[(50.0971263, 14.4787901), (50.0973752, 14.4786538), (50.097707, 14.4784842), (50.0975652, 14.4781405), (50.0971852, 14.4775078), (50.097164, 14.4774725), (50.0971996, 14.4774253), (50.0968569, 14.4768845), (50.0964293, 14.4762203), (50.0965825, 14.4759329), (50.0963868, 14.4756464), (50.0960941, 14.4752461), (50.0960705, 14.4751871), (50.0975579, 14.4744218), (50.09765, 14.4742739), (50.097849, 14.4738754), (50.097849, 14.4738754), (50.0975512, 14.4735618), (50.097367, 14.4733245), (50.0968793, 14.4728184), (50.096366, 14.4722057), (50.0961133, 14.4719666), (50.095982, 14.4717744), (50.0958297, 14.4716329), (50.0953164, 14.4710285), (50.0951969, 14.4707695), (50.0948653, 14.4703923), (50.0949429, 14.4702258), (50.0949191, 14.4701674), (50.0942507, 14.4692201), (50.0939495, 14.4688861), (50.0938975, 14.4687892), (50.0937379, 14.4684765), (50.0932972, 14.4680304), (50.0932462, 14.4678439), (50.0933457, 14.4677422), (50.0929915, 14.4669601), (50.0929789, 14.4669173), (50.092789, 14.4662093), (50.0926841, 14.4658115), (50.0926317, 14.4652226), (50.0925756, 14.4646854), (50.0923718, 14.4638163), (50.0923775, 14.4634886), (50.0920799, 14.4618292), (50.0920288, 14.461381), (50.091895, 14.4608195), (50.0919476, 14.460768), (50.0917754, 14.4594984), (50.0916962, 14.4590522), (50.0915963, 14.4584756), (50.0915075, 14.4580254), (50.0915469, 14.4580057), (50.0914315, 14.4574205), (50.0913677, 14.4571322), (50.0913288, 14.4569654), (50.0913212, 14.4569678), (50.09131, 14.4569637), (50.0913015, 14.4569515), (50.0912985, 14.4569403), (50.091299, 14.4569224), (50.0913025, 14.4569116), (50.0913116, 14.4569005), (50.0913191, 14.4568976), (50.0913047, 14.4567681), (50.0912547, 14.4565285), (50.0911713, 14.4565773), (50.0911461, 14.456456), (50.0911548, 14.4563942), (50.0911451, 14.4563447), (50.0910906, 14.4561041), (50.0910744, 14.4560693), (50.0910295, 14.4559203), (50.0909367, 14.4554199), (50.0909741, 14.4554014), (50.0909574, 14.4553239), (50.0908491, 14.4553717), (50.0906055, 14.4541822), (50.0904178, 14.4532508), (50.0904284, 14.4532444), (50.0904201, 14.4532019), (50.0904085, 14.4532087), (50.0902799, 14.4525519), (50.0903781, 14.452492), (50.0903616, 14.452303), (50.0903208, 14.4521077), (50.0902796, 14.4519212), (50.090206, 14.4519633), (50.0901405, 14.4516382), (50.09017, 14.4516218), (50.0901301, 14.4514477), (50.0900988, 14.4514641), (50.0900322, 14.4511306), (50.0900186, 14.4511363), (50.0899808, 14.4509239), (50.0900015, 14.4509124), (50.0899916, 14.4508705), (50.0899731, 14.4508804), (50.0898919, 14.4504811), (50.0899103, 14.4504703), (50.0899011, 14.4504284), (50.0898831, 14.4504375), (50.0898215, 14.4501393), (50.0898133, 14.450086), (50.0897101, 14.449584), (50.0897244, 14.4495754), (50.0897195, 14.4495495), (50.0897048, 14.4495569), (50.0896708, 14.4493591), (50.0895897, 14.4485485), (50.0897448, 14.4484649), (50.0898832, 14.4483911), (50.0892972, 14.4455659), (50.0892119, 14.4451547), (50.0891271, 14.4447574), (50.0888509, 14.4434275), (50.0888292, 14.4432522), (50.0884401, 14.443111), (50.0884401, 14.443111), (50.0874128, 14.4432339), (50.0874273, 14.4430954), (50.0873958, 14.4429742), (50.0874411, 14.4418424), (50.0874269, 14.4417114), (50.0873216, 14.4409096), (50.0872157, 14.4401541), (50.0871641, 14.4398197), (50.0871385, 14.4396835), (50.0870947, 14.439501), (50.0870327, 14.439253), (50.0869883, 14.4391016), (50.0868948, 14.4388249), (50.0867707, 14.4385411), (50.0866731, 14.4383499), (50.0865991, 14.4382108), (50.0863055, 14.4380561), (50.0863055, 14.4380561), (50.0858902, 14.4392539), (50.0851581, 14.4407864), (50.0832186, 14.4398991), (50.0820168, 14.4395319), (50.0818583, 14.4403265), (50.0817786, 14.4411769), (50.0816512, 14.442036), (50.0815742, 14.4426424), (50.0815098, 14.4433939), (50.0814845, 14.4440997), (50.0812999, 14.4448355), (50.0811852, 14.4455712), (50.0799703, 14.44738), (50.0790006, 14.4481868), (50.0798725, 14.4508846), (50.079896, 14.4509555), (50.0807437, 14.4529144), (50.0812481, 14.4541317), (50.0790362, 14.4550652), (50.0792103, 14.4563764), (50.0776094, 14.4570318), (50.0777456, 14.4597515), (50.0778193, 14.4619503), (50.0780098, 14.4645805), (50.0781708, 14.4673668), (50.0782119, 14.468057), (50.078429, 14.4726358), (50.0784294, 14.473113), (50.0784415, 14.473158), (50.078127, 14.4757482), (50.0779642, 14.4774181), (50.0779642, 14.4774181), (50.0780639, 14.477422), (50.0781407, 14.4774425), (50.0786148, 14.4775463), (50.0794155, 14.477167), (50.0795423, 14.4771038), (50.0799489, 14.479466), (50.0804052, 14.4818219), (50.0804639, 14.4825576), (50.0810023, 14.4821121), (50.0812374, 14.4816516), (50.0814876, 14.4808463), (50.0817962, 14.4804922), (50.0826603, 14.4799004), (50.0825093, 14.479209), (50.0830757, 14.478734), (50.0834254, 14.4785144), (50.0835313, 14.4784215), (50.083573, 14.4783912), (50.0848004, 14.4802835), (50.0848461, 14.4808001), (50.0849735, 14.4817537), (50.0850565, 14.481862), (50.0851905, 14.4820124), (50.0852953, 14.4820702), (50.0853704, 14.4820826), (50.0853937, 14.4821087), (50.085415, 14.4822392), (50.0854161, 14.4824809), (50.0853961, 14.4826458), (50.0854017, 14.4827103), (50.0854124, 14.4827134), (50.085444, 14.483657), (50.0854345, 14.4841019), (50.0854352, 14.484664), (50.0854537, 14.4852164), (50.0854948, 14.4857317), (50.0855614, 14.4862769), (50.0856708, 14.486965), (50.0857807, 14.4874936), (50.0859578, 14.4882871), (50.086044, 14.4886189), (50.0860688, 14.4887083), (50.0862452, 14.489344), (50.0864096, 14.4899923), (50.0864316, 14.4900886), (50.0867013, 14.4912668), (50.0868172, 14.4917672), (50.0869018, 14.4918459), (50.0869597, 14.4918603), (50.0869543, 14.4919156), (50.0869543, 14.4919156), (50.0870695, 14.4919211), (50.0870668, 14.4918926), (50.0871063, 14.4918087), (50.087342, 14.4916662), (50.0874574, 14.4921433), (50.0875173, 14.4923824), (50.0875361, 14.4925296), (50.0877782, 14.4936067), (50.0879588, 14.4945841), (50.0881116, 14.495361), (50.0883592, 14.4964212), (50.0885268, 14.4972807), (50.0885021, 14.4974329), (50.0886471, 14.49822), (50.0888552, 14.498976), (50.0889587, 14.499456), (50.0890494, 14.4999793), (50.0893673, 14.5014555), (50.0894605, 14.5019284), (50.0895324, 14.5024232), (50.0895873, 14.5029831), (50.0895964, 14.5032752), (50.0896617, 14.5033129), (50.0896617, 14.5033129), (50.0896899, 14.503318), (50.0897991, 14.5024553), (50.0899032, 14.5020294), (50.0900057, 14.5016338), (50.0900336, 14.5016348), (50.090146, 14.5015277), (50.0903233, 14.5014435), (50.0903458, 14.5014211), (50.0906354, 14.5023255), (50.0908799, 14.5009811), (50.0910978, 14.5002306), (50.0917745, 14.4982879), (50.09346, 14.4968558), (50.0944501, 14.4962667), (50.0956947, 14.4959585), (50.0956947, 14.4959585), (50.0953191, 14.4938), (50.0950753, 14.4914525), (50.0950078, 14.4882227), (50.0949957, 14.4867219), (50.0949411, 14.4856555), (50.0948667, 14.4847991), (50.0947253, 14.483701), (50.0944492, 14.4821748), (50.0950972, 14.4816584), (50.0951176, 14.481542), (50.0948358, 14.4807155), (50.0949476, 14.4804845), (50.0950311, 14.4803903), (50.0954957, 14.4799592), (50.0957184, 14.4797853), (50.0961949, 14.4794732), (50.0965717, 14.4791584), (50.0970498, 14.4788328), (50.0971263, 14.4787901)]",10443
